"Strategy","Depth","Param","Value1","Value2","Value3","Value4","Value5"
"bfs","5","ulrd","5","82","170","5","0.0"
"dfs","5","drlu","15","21181","31919","15","48.587"
"dfs","5","drul","9","81720","123319","20","209.434"
"dfs","5","ludr","-1","250316","378255","20","648.355"
"dfs","5","lurd","-1","148081","223748","20","374.485"
"dfs","5","rdlu","15","21254","32041","15","53.026"
"dfs","5","rdul","-1","72692","109697","20","175.094"
"dfs","5","uldr","19","172634","260864","20","427.703"
"dfs","5","ulrd","-1","205180","309744","20","562.88"
"astr","5","hamm","5","6","10","5","0.0"
"astr","5","manh","5","6","10","5","0.0"
"bfs","5","drlu","5","57","121","5","0.0"
"bfs","5","drul","5","57","121","5","0.0"
"bfs","5","ludr","5","73","159","5","0.0"
"bfs","5","lurd","5","122","256","5","0.0"
"bfs","5","rdlu","5","106","218","5","0.0"
"bfs","5","rdul","5","106","218","5","0.0"
"bfs","5","uldr","5","73","159","5","0.999"
"bfs","5","ulrd","5","122","256","5","1.0"
"dfs","5","drlu","5","122","176","5","0.0"
"dfs","5","drul","5","122","176","5","0.0"
"dfs","5","ludr","19","90947","137238","20","241.104"
"dfs","5","lurd","-1","125668","189707","20","330.084"
"dfs","5","rdlu","5","223262","337628","20","596.169"
"dfs","5","rdul","19","184739","278738","20","462.709"
"dfs","5","uldr","5","139154","210217","20","360.088"
"dfs","5","ulrd","19","67012","101102","20","168.617"
"astr","5","hamm","5","6","11","5","0.0"
"astr","5","manh","5","6","11","5","0.0"
"bfs","5","drlu","5","114","241","5","0.0"
"bfs","5","drul","5","139","296","5","0.0"
"bfs","5","ludr","5","88","185","5","0.996"
"bfs","5","lurd","5","88","185","5","1.0"
"bfs","5","rdlu","5","114","241","5","0.996"
"bfs","5","rdul","5","139","296","5","0.0"
"bfs","5","uldr","5","113","240","5","1.009"
"bfs","5","ulrd","5","113","240","5","1.0"
"dfs","5","drlu","19","69193","104384","20","175.706"
"dfs","5","drul","19","72209","108955","20","175.729"
"dfs","5","ludr","5","91342","137870","20","247.67"
"dfs","5","lurd","19","114054","172308","20","290.072"
"dfs","5","rdlu","5","67089","101235","20","164.763"
"dfs","5","rdul","5","87458","131982","20","227.482"
"dfs","5","uldr","-1","165272","249721","20","419.785"
"dfs","5","ulrd","5","77473","116921","20","190.096"
"astr","6","hamm","6","7","11","6","0.0"
"astr","6","manh","6","7","11","6","0.0"
"bfs","6","drlu","6","198","404","6","0.0"
"bfs","6","drul","6","198","404","6","2.015"
"bfs","6","ludr","6","202","415","6","0.0"
"bfs","6","lurd","6","100","213","6","0.0"
"bfs","6","rdlu","6","96","202","6","1.0"
"bfs","6","rdul","6","96","202","6","1.0"
"bfs","6","uldr","6","202","415","6","1.001"
"bfs","6","ulrd","6","100","213","6","0.0"
"dfs","6","drlu","18","134430","202967","20","336.867"
"dfs","6","drul","-1","99471","150359","20","239.814"
"dfs","6","ludr","16","51197","77186","20","127.177"
"dfs","6","lurd","6","36686","55350","20","95.033"
"dfs","6","rdlu","6","202","296","6","0.0"
"dfs","6","rdul","6","202","296","6","0.0"
"dfs","6","uldr","-1","180000","272065","20","460.438"
"dfs","6","ulrd","6","30238","45581","20","76.032"
"astr","6","hamm","6","7","13","6","0.0"
"astr","6","manh","6","7","13","6","0.999"
"bfs","6","drlu","6","312","668","6","1.51"
"bfs","6","drul","6","279","600","6","1.0"
"bfs","6","ludr","6","220","467","6","2.0"
"bfs","6","lurd","6","203","436","6","2.0"
"bfs","6","rdlu","6","296","638","6","1.001"
"bfs","6","rdul","6","263","570","6","1.009"
"bfs","6","uldr","6","187","398","6","0.998"
"bfs","6","ulrd","6","170","367","6","1.012"
"dfs","6","drlu","6","152909","230850","20","380.026"
"dfs","6","drul","-1","289767","438341","20","746.962"
"dfs","6","ludr","16","21912","33034","20","53.518"
"dfs","6","lurd","18","102844","155376","20","257.607"
"dfs","6","rdlu","-1","289767","438341","20","724.23"
"dfs","6","rdul","-1","197594","298430","20","495.55"
"dfs","6","uldr","6","110011","166127","20","266.575"
"dfs","6","ulrd","-1","165500","249865","20","416.985"
"astr","6","hamm","6","7","14","6","0.0"
"astr","6","manh","6","7","14","6","0.0"
"bfs","6","drlu","6","248","537","6","5.122"
"bfs","6","drul","6","248","537","6","0.0"
"bfs","6","ludr","6","288","619","6","2.011"
"bfs","6","lurd","6","234","499","6","2.01"
"bfs","6","rdlu","6","194","418","6","2.009"
"bfs","6","rdul","6","194","418","6","2.012"
"bfs","6","uldr","6","288","619","6","0.0"
"bfs","6","ulrd","6","234","499","6","0.0"
"dfs","6","drlu","-1","197594","298430","20","501.832"
"dfs","6","drul","-1","289767","438341","20","724.876"
"dfs","6","ludr","-1","165500","249865","20","425.077"
"dfs","6","lurd","18","68865","103872","20","168.795"
"dfs","6","rdlu","-1","289767","438341","20","728.986"
"dfs","6","rdul","-1","197594","298430","20","494.841"
"dfs","6","uldr","-1","120678","182271","20","305.737"
"dfs","6","ulrd","-1","165500","249865","20","421.847"
"astr","6","hamm","6","10","17","6","0.0"
"astr","6","manh","6","10","17","6","0.0"
"bfs","6","drlu","6","216","455","6","4.412"
"bfs","6","drul","6","218","453","6","7.38"
"bfs","6","ludr","6","162","344","6","0.0"
"bfs","6","lurd","6","162","344","6","15.471"
"bfs","6","rdlu","6","216","455","6","3.896"
"bfs","6","rdul","6","218","453","6","0.995"
"bfs","6","uldr","6","163","341","6","0.0"
"bfs","6","ulrd","6","163","341","6","0.997"
"dfs","6","drlu","-1","162917","246056","20","417.253"
"dfs","6","drul","14","28257","42596","20","69.519"
"dfs","6","ludr","-1","208703","315303","20","546.706"
"dfs","6","lurd","-1","152229","230146","20","385.384"
"dfs","6","rdlu","18","147070","222230","20","373.521"
"dfs","6","rdul","14","28346","42720","20","70.058"
"dfs","6","uldr","-1","123896","187287","20","374.46"
